device_id,reason,action_summary,action,type
479,Device failure reported,Checked,Maintenance,Service
106,Routine inspection,Checked,Maintenance,Service
217,Normal operation,Checked,Maintenance,Service
205,Routine inspection,Checked,Maintenance,Service
70,Routine inspection,Checked,Maintenance,Service
44,Routine inspection,Checked,Maintenance,Service
329,Normal operation,Checked,Maintenance,Service
301,Routine inspection,Checked,Maintenance,Service
228,Normal operation,Checked,Maintenance,Service
184,Normal operation,Checked,Maintenance,Service
107,Routine inspection,Checked,Maintenance,Service
84,Routine inspection,Checked,Maintenance,Service
338,Normal operation,Checked,Maintenance,Service
250,Routine inspection,Checked,Maintenance,Service
363,Normal operation,Checked,Maintenance,Service
441,Normal operation,Checked,Maintenance,Service
21,Routine inspection,Checked,Maintenance,Service
196,Routine inspection,Checked,Maintenance,Service
178,Normal operation,Checked,Maintenance,Service
417,Device failure reported,Checked,Maintenance,Service
475,Routine inspection,Checked,Maintenance,Service
7,Routine inspection,Checked,Maintenance,Service
70,Routine inspection,Checked,Maintenance,Service
127,Normal operation,Checked,Maintenance,Service
399,Normal operation,Checked,Maintenance,Service
466,Device failure reported,Checked,Maintenance,Service
160,Routine inspection,Checked,Maintenance,Service
248,Routine inspection,Checked,Maintenance,Service
203,Normal operation,Checked,Maintenance,Service
148,Routine inspection,Checked,Maintenance,Service
472,Routine inspection,Checked,Maintenance,Service
143,Routine inspection,Checked,Maintenance,Service
432,Device failure reported,Checked,Maintenance,Service
199,Normal operation,Checked,Maintenance,Service
405,Routine inspection,Checked,Maintenance,Service
426,Routine inspection,Checked,Maintenance,Service
154,Device failure reported,Checked,Maintenance,Service
492,Normal operation,Checked,Maintenance,Service
376,Routine inspection,Checked,Maintenance,Service
384,Routine inspection,Checked,Maintenance,Service
142,Routine inspection,Checked,Maintenance,Service
313,Normal operation,Checked,Maintenance,Service
165,Routine inspection,Checked,Maintenance,Service
314,Routine inspection,Checked,Maintenance,Service
21,Device failure reported,Checked,Maintenance,Service
82,Device failure reported,Checked,Maintenance,Service
69,Routine inspection,Checked,Maintenance,Service
131,Normal operation,Checked,Maintenance,Service
87,Routine inspection,Checked,Maintenance,Service
218,Routine inspection,Checked,Maintenance,Service
421,Routine inspection,Checked,Maintenance,Service
472,Device failure reported,Checked,Maintenance,Service
305,Routine inspection,Checked,Maintenance,Service
403,Normal operation,Checked,Maintenance,Service
371,Device failure reported,Checked,Maintenance,Service
345,Device failure reported,Checked,Maintenance,Service
341,Device failure reported,Checked,Maintenance,Service
384,Device failure reported,Checked,Maintenance,Service
396,Routine inspection,Checked,Maintenance,Service
445,Routine inspection,Checked,Maintenance,Service
425,Normal operation,Checked,Maintenance,Service
161,Routine inspection,Checked,Maintenance,Service
178,Device failure reported,Checked,Maintenance,Service
117,Normal operation,Checked,Maintenance,Service
196,Routine inspection,Checked,Maintenance,Service
383,Device failure reported,Checked,Maintenance,Service
490,Routine inspection,Checked,Maintenance,Service
327,Routine inspection,Checked,Maintenance,Service
86,Routine inspection,Checked,Maintenance,Service
289,Routine inspection,Checked,Maintenance,Service
81,Device failure reported,Checked,Maintenance,Service
152,Normal operation,Checked,Maintenance,Service
61,Device failure reported,Checked,Maintenance,Service
61,Routine inspection,Checked,Maintenance,Service
354,Routine inspection,Checked,Maintenance,Service
28,Device failure reported,Checked,Maintenance,Service
442,Routine inspection,Checked,Maintenance,Service
43,Normal operation,Checked,Maintenance,Service
169,Normal operation,Checked,Maintenance,Service
423,Device failure reported,Checked,Maintenance,Service
86,Normal operation,Checked,Maintenance,Service
177,Routine inspection,Checked,Maintenance,Service
17,Device failure reported,Checked,Maintenance,Service
98,Routine inspection,Checked,Maintenance,Service
454,Normal operation,Checked,Maintenance,Service
494,Routine inspection,Checked,Maintenance,Service
198,Device failure reported,Checked,Maintenance,Service
98,Normal operation,Checked,Maintenance,Service
65,Routine inspection,Checked,Maintenance,Service
330,Routine inspection,Checked,Maintenance,Service
341,Device failure reported,Checked,Maintenance,Service
5,Routine inspection,Checked,Maintenance,Service
2,Routine inspection,Checked,Maintenance,Service
22,Routine inspection,Checked,Maintenance,Service
112,Routine inspection,Checked,Maintenance,Service
57,Normal operation,Checked,Maintenance,Service
66,Routine inspection,Checked,Maintenance,Service
330,Routine inspection,Checked,Maintenance,Service
98,Routine inspection,Checked,Maintenance,Service
144,Routine inspection,Checked,Maintenance,Service
368,Routine inspection,Checked,Maintenance,Service
435,Routine inspection,Checked,Maintenance,Service
125,Routine inspection,Checked,Maintenance,Service
167,Routine inspection,Checked,Maintenance,Service
86,Device failure reported,Checked,Maintenance,Service
76,Routine inspection,Checked,Maintenance,Service
344,Device failure reported,Checked,Maintenance,Service
495,Routine inspection,Checked,Maintenance,Service
424,Routine inspection,Checked,Maintenance,Service
294,Device failure reported,Checked,Maintenance,Service
444,Routine inspection,Checked,Maintenance,Service
59,Normal operation,Checked,Maintenance,Service
138,Device failure reported,Checked,Maintenance,Service
99,Routine inspection,Checked,Maintenance,Service
192,Normal operation,Checked,Maintenance,Service
243,Device failure reported,Checked,Maintenance,Service
319,Routine inspection,Checked,Maintenance,Service
49,Routine inspection,Checked,Maintenance,Service
448,Routine inspection,Checked,Maintenance,Service
32,Normal operation,Checked,Maintenance,Service
391,Device failure reported,Checked,Maintenance,Service
277,Normal operation,Checked,Maintenance,Service
20,Device failure reported,Checked,Maintenance,Service
154,Routine inspection,Checked,Maintenance,Service
383,Routine inspection,Checked,Maintenance,Service
68,Device failure reported,Checked,Maintenance,Service
366,Routine inspection,Checked,Maintenance,Service
372,Normal operation,Checked,Maintenance,Service
214,Routine inspection,Checked,Maintenance,Service
143,Routine inspection,Checked,Maintenance,Service
376,Device failure reported,Checked,Maintenance,Service
232,Device failure reported,Checked,Maintenance,Service
213,Routine inspection,Checked,Maintenance,Service
79,Device failure reported,Checked,Maintenance,Service
214,Routine inspection,Checked,Maintenance,Service
116,Device failure reported,Checked,Maintenance,Service
92,Device failure reported,Checked,Maintenance,Service
270,Normal operation,Checked,Maintenance,Service
411,Normal operation,Checked,Maintenance,Service
381,Routine inspection,Checked,Maintenance,Service
489,Routine inspection,Checked,Maintenance,Service
168,Normal operation,Checked,Maintenance,Service
58,Routine inspection,Checked,Maintenance,Service
284,Normal operation,Checked,Maintenance,Service
26,Routine inspection,Checked,Maintenance,Service
369,Device failure reported,Checked,Maintenance,Service
447,Normal operation,Checked,Maintenance,Service
66,Normal operation,Checked,Maintenance,Service
409,Routine inspection,Checked,Maintenance,Service
248,Device failure reported,Checked,Maintenance,Service
254,Routine inspection,Checked,Maintenance,Service
387,Routine inspection,Checked,Maintenance,Service
456,Device failure reported,Checked,Maintenance,Service
44,Device failure reported,Checked,Maintenance,Service
97,Normal operation,Checked,Maintenance,Service
42,Routine inspection,Checked,Maintenance,Service
500,Routine inspection,Checked,Maintenance,Service
227,Routine inspection,Checked,Maintenance,Service
262,Routine inspection,Checked,Maintenance,Service
167,Routine inspection,Checked,Maintenance,Service
436,Device failure reported,Checked,Maintenance,Service
279,Routine inspection,Checked,Maintenance,Service
89,Normal operation,Checked,Maintenance,Service
379,Normal operation,Checked,Maintenance,Service
178,Device failure reported,Checked,Maintenance,Service
427,Normal operation,Checked,Maintenance,Service
403,Device failure reported,Checked,Maintenance,Service
197,Routine inspection,Checked,Maintenance,Service
307,Routine inspection,Checked,Maintenance,Service
267,Routine inspection,Checked,Maintenance,Service
268,Routine inspection,Checked,Maintenance,Service
74,Normal operation,Checked,Maintenance,Service
8,Routine inspection,Checked,Maintenance,Service
408,Normal operation,Checked,Maintenance,Service
476,Device failure reported,Checked,Maintenance,Service
297,Routine inspection,Checked,Maintenance,Service
164,Normal operation,Checked,Maintenance,Service
485,Routine inspection,Checked,Maintenance,Service
85,Routine inspection,Checked,Maintenance,Service
72,Device failure reported,Checked,Maintenance,Service
55,Routine inspection,Checked,Maintenance,Service
393,Device failure reported,Checked,Maintenance,Service
47,Routine inspection,Checked,Maintenance,Service
399,Routine inspection,Checked,Maintenance,Service
432,Normal operation,Checked,Maintenance,Service
238,Routine inspection,Checked,Maintenance,Service
104,Routine inspection,Checked,Maintenance,Service
210,Routine inspection,Checked,Maintenance,Service
42,Normal operation,Checked,Maintenance,Service
316,Routine inspection,Checked,Maintenance,Service
468,Routine inspection,Checked,Maintenance,Service
454,Routine inspection,Checked,Maintenance,Service
268,Routine inspection,Checked,Maintenance,Service
386,Normal operation,Checked,Maintenance,Service
263,Device failure reported,Checked,Maintenance,Service
336,Routine inspection,Checked,Maintenance,Service
387,Device failure reported,Checked,Maintenance,Service
365,Routine inspection,Checked,Maintenance,Service
259,Normal operation,Checked,Maintenance,Service
283,Normal operation,Checked,Maintenance,Service
114,Routine inspection,Checked,Maintenance,Service
363,Normal operation,Checked,Maintenance,Service
40,Device failure reported,Checked,Maintenance,Service
486,Routine inspection,Checked,Maintenance,Service
417,Routine inspection,Checked,Maintenance,Service
220,Routine inspection,Checked,Maintenance,Service
129,Device failure reported,Checked,Maintenance,Service
8,Normal operation,Checked,Maintenance,Service
101,Device failure reported,Checked,Maintenance,Service
416,Normal operation,Checked,Maintenance,Service
380,Device failure reported,Checked,Maintenance,Service
176,Normal operation,Checked,Maintenance,Service
107,Device failure reported,Checked,Maintenance,Service
101,Routine inspection,Checked,Maintenance,Service
260,Routine inspection,Checked,Maintenance,Service
478,Normal operation,Checked,Maintenance,Service
454,Routine inspection,Checked,Maintenance,Service
366,Normal operation,Checked,Maintenance,Service
246,Routine inspection,Checked,Maintenance,Service
275,Routine inspection,Checked,Maintenance,Service
32,Normal operation,Checked,Maintenance,Service
137,Routine inspection,Checked,Maintenance,Service
12,Routine inspection,Checked,Maintenance,Service
395,Routine inspection,Checked,Maintenance,Service
302,Normal operation,Checked,Maintenance,Service
375,Routine inspection,Checked,Maintenance,Service
16,Normal operation,Checked,Maintenance,Service
129,Routine inspection,Checked,Maintenance,Service
63,Normal operation,Checked,Maintenance,Service
109,Normal operation,Checked,Maintenance,Service
375,Routine inspection,Checked,Maintenance,Service
21,Routine inspection,Checked,Maintenance,Service
158,Routine inspection,Checked,Maintenance,Service
269,Device failure reported,Checked,Maintenance,Service
162,Routine inspection,Checked,Maintenance,Service
260,Routine inspection,Checked,Maintenance,Service
412,Routine inspection,Checked,Maintenance,Service
102,Routine inspection,Checked,Maintenance,Service
223,Routine inspection,Checked,Maintenance,Service
59,Device failure reported,Checked,Maintenance,Service
247,Normal operation,Checked,Maintenance,Service
128,Routine inspection,Checked,Maintenance,Service
283,Routine inspection,Checked,Maintenance,Service
325,Routine inspection,Checked,Maintenance,Service
25,Normal operation,Checked,Maintenance,Service
131,Normal operation,Checked,Maintenance,Service
353,Normal operation,Checked,Maintenance,Service
196,Normal operation,Checked,Maintenance,Service
281,Routine inspection,Checked,Maintenance,Service
404,Normal operation,Checked,Maintenance,Service
418,Device failure reported,Checked,Maintenance,Service
154,Routine inspection,Checked,Maintenance,Service
382,Normal operation,Checked,Maintenance,Service
133,Routine inspection,Checked,Maintenance,Service
227,Device failure reported,Checked,Maintenance,Service
189,Routine inspection,Checked,Maintenance,Service
476,Routine inspection,Checked,Maintenance,Service
477,Device failure reported,Checked,Maintenance,Service
265,Routine inspection,Checked,Maintenance,Service
372,Routine inspection,Checked,Maintenance,Service
486,Routine inspection,Checked,Maintenance,Service
434,Normal operation,Checked,Maintenance,Service
134,Routine inspection,Checked,Maintenance,Service
211,Routine inspection,Checked,Maintenance,Service
60,Normal operation,Checked,Maintenance,Service
428,Normal operation,Checked,Maintenance,Service
377,Routine inspection,Checked,Maintenance,Service
395,Device failure reported,Checked,Maintenance,Service
450,Normal operation,Checked,Maintenance,Service
431,Normal operation,Checked,Maintenance,Service
364,Routine inspection,Checked,Maintenance,Service
364,Routine inspection,Checked,Maintenance,Service
457,Routine inspection,Checked,Maintenance,Service
213,Routine inspection,Checked,Maintenance,Service
216,Routine inspection,Checked,Maintenance,Service
226,Routine inspection,Checked,Maintenance,Service
470,Device failure reported,Checked,Maintenance,Service
131,Routine inspection,Checked,Maintenance,Service
76,Routine inspection,Checked,Maintenance,Service
476,Normal operation,Checked,Maintenance,Service
286,Routine inspection,Checked,Maintenance,Service
474,Routine inspection,Checked,Maintenance,Service
496,Normal operation,Checked,Maintenance,Service
277,Routine inspection,Checked,Maintenance,Service
156,Device failure reported,Checked,Maintenance,Service
248,Device failure reported,Checked,Maintenance,Service
218,Routine inspection,Checked,Maintenance,Service
190,Normal operation,Checked,Maintenance,Service
417,Routine inspection,Checked,Maintenance,Service
469,Routine inspection,Checked,Maintenance,Service
163,Routine inspection,Checked,Maintenance,Service
180,Routine inspection,Checked,Maintenance,Service
34,Normal operation,Checked,Maintenance,Service
41,Routine inspection,Checked,Maintenance,Service
307,Routine inspection,Checked,Maintenance,Service
431,Routine inspection,Checked,Maintenance,Service
338,Routine inspection,Checked,Maintenance,Service
314,Routine inspection,Checked,Maintenance,Service
75,Routine inspection,Checked,Maintenance,Service
441,Device failure reported,Checked,Maintenance,Service
279,Routine inspection,Checked,Maintenance,Service
176,Routine inspection,Checked,Maintenance,Service
384,Routine inspection,Checked,Maintenance,Service
150,Routine inspection,Checked,Maintenance,Service
273,Normal operation,Checked,Maintenance,Service
325,Routine inspection,Checked,Maintenance,Service
108,Routine inspection,Checked,Maintenance,Service
139,Routine inspection,Checked,Maintenance,Service
350,Device failure reported,Checked,Maintenance,Service
271,Device failure reported,Checked,Maintenance,Service
347,Routine inspection,Checked,Maintenance,Service
419,Device failure reported,Checked,Maintenance,Service
289,Device failure reported,Checked,Maintenance,Service
212,Normal operation,Checked,Maintenance,Service
381,Normal operation,Checked,Maintenance,Service
272,Routine inspection,Checked,Maintenance,Service
418,Routine inspection,Checked,Maintenance,Service
66,Routine inspection,Checked,Maintenance,Service
483,Routine inspection,Checked,Maintenance,Service
424,Normal operation,Checked,Maintenance,Service
248,Routine inspection,Checked,Maintenance,Service
156,Routine inspection,Checked,Maintenance,Service
47,Device failure reported,Checked,Maintenance,Service
423,Routine inspection,Checked,Maintenance,Service
454,Routine inspection,Checked,Maintenance,Service
201,Routine inspection,Checked,Maintenance,Service
148,Routine inspection,Checked,Maintenance,Service
124,Device failure reported,Checked,Maintenance,Service
1,Routine inspection,Checked,Maintenance,Service
456,Routine inspection,Checked,Maintenance,Service
247,Routine inspection,Checked,Maintenance,Service
343,Routine inspection,Checked,Maintenance,Service
128,Device failure reported,Checked,Maintenance,Service
191,Routine inspection,Checked,Maintenance,Service
67,Routine inspection,Checked,Maintenance,Service
4,Normal operation,Checked,Maintenance,Service
442,Device failure reported,Checked,Maintenance,Service
409,Routine inspection,Checked,Maintenance,Service
303,Routine inspection,Checked,Maintenance,Service
294,Device failure reported,Checked,Maintenance,Service
143,Device failure reported,Checked,Maintenance,Service
191,Routine inspection,Checked,Maintenance,Service
21,Normal operation,Checked,Maintenance,Service
227,Routine inspection,Checked,Maintenance,Service
313,Routine inspection,Checked,Maintenance,Service
117,Routine inspection,Checked,Maintenance,Service
437,Routine inspection,Checked,Maintenance,Service
302,Normal operation,Checked,Maintenance,Service
500,Routine inspection,Checked,Maintenance,Service
142,Routine inspection,Checked,Maintenance,Service
484,Normal operation,Checked,Maintenance,Service
460,Routine inspection,Checked,Maintenance,Service
401,Routine inspection,Checked,Maintenance,Service
39,Routine inspection,Checked,Maintenance,Service
393,Routine inspection,Checked,Maintenance,Service
355,Routine inspection,Checked,Maintenance,Service
252,Device failure reported,Checked,Maintenance,Service
333,Routine inspection,Checked,Maintenance,Service
207,Routine inspection,Checked,Maintenance,Service
210,Device failure reported,Checked,Maintenance,Service
115,Device failure reported,Checked,Maintenance,Service
225,Routine inspection,Checked,Maintenance,Service
134,Routine inspection,Checked,Maintenance,Service
251,Routine inspection,Checked,Maintenance,Service
219,Routine inspection,Checked,Maintenance,Service
407,Routine inspection,Checked,Maintenance,Service
443,Routine inspection,Checked,Maintenance,Service
91,Normal operation,Checked,Maintenance,Service
354,Routine inspection,Checked,Maintenance,Service
376,Device failure reported,Checked,Maintenance,Service
46,Routine inspection,Checked,Maintenance,Service
38,Device failure reported,Checked,Maintenance,Service
142,Device failure reported,Checked,Maintenance,Service
100,Normal operation,Checked,Maintenance,Service
328,Routine inspection,Checked,Maintenance,Service
190,Routine inspection,Checked,Maintenance,Service
35,Routine inspection,Checked,Maintenance,Service
147,Device failure reported,Checked,Maintenance,Service
30,Routine inspection,Checked,Maintenance,Service
334,Routine inspection,Checked,Maintenance,Service
84,Routine inspection,Checked,Maintenance,Service
369,Routine inspection,Checked,Maintenance,Service
281,Routine inspection,Checked,Maintenance,Service
424,Routine inspection,Checked,Maintenance,Service
344,Normal operation,Checked,Maintenance,Service
270,Device failure reported,Checked,Maintenance,Service
154,Normal operation,Checked,Maintenance,Service
102,Routine inspection,Checked,Maintenance,Service
215,Normal operation,Checked,Maintenance,Service
150,Normal operation,Checked,Maintenance,Service
432,Device failure reported,Checked,Maintenance,Service
83,Device failure reported,Checked,Maintenance,Service
110,Routine inspection,Checked,Maintenance,Service
435,Normal operation,Checked,Maintenance,Service
387,Routine inspection,Checked,Maintenance,Service
426,Routine inspection,Checked,Maintenance,Service
275,Routine inspection,Checked,Maintenance,Service
201,Normal operation,Checked,Maintenance,Service
284,Normal operation,Checked,Maintenance,Service
468,Normal operation,Checked,Maintenance,Service
173,Device failure reported,Checked,Maintenance,Service
327,Routine inspection,Checked,Maintenance,Service
206,Routine inspection,Checked,Maintenance,Service
63,Routine inspection,Checked,Maintenance,Service
73,Routine inspection,Checked,Maintenance,Service
251,Routine inspection,Checked,Maintenance,Service
124,Routine inspection,Checked,Maintenance,Service
375,Routine inspection,Checked,Maintenance,Service
121,Normal operation,Checked,Maintenance,Service
275,Routine inspection,Checked,Maintenance,Service
431,Normal operation,Checked,Maintenance,Service
500,Device failure reported,Checked,Maintenance,Service
398,Routine inspection,Checked,Maintenance,Service
120,Routine inspection,Checked,Maintenance,Service
422,Routine inspection,Checked,Maintenance,Service
437,Routine inspection,Checked,Maintenance,Service
317,Device failure reported,Checked,Maintenance,Service
164,Routine inspection,Checked,Maintenance,Service
424,Routine inspection,Checked,Maintenance,Service
465,Routine inspection,Checked,Maintenance,Service
286,Normal operation,Checked,Maintenance,Service
265,Device failure reported,Checked,Maintenance,Service
320,Device failure reported,Checked,Maintenance,Service
161,Routine inspection,Checked,Maintenance,Service
376,Device failure reported,Checked,Maintenance,Service
308,Device failure reported,Checked,Maintenance,Service
89,Device failure reported,Checked,Maintenance,Service
142,Normal operation,Checked,Maintenance,Service
203,Routine inspection,Checked,Maintenance,Service
309,Normal operation,Checked,Maintenance,Service
227,Normal operation,Checked,Maintenance,Service
489,Routine inspection,Checked,Maintenance,Service
443,Routine inspection,Checked,Maintenance,Service
334,Normal operation,Checked,Maintenance,Service
222,Routine inspection,Checked,Maintenance,Service
41,Routine inspection,Checked,Maintenance,Service
196,Normal operation,Checked,Maintenance,Service
68,Routine inspection,Checked,Maintenance,Service
476,Routine inspection,Checked,Maintenance,Service
264,Routine inspection,Checked,Maintenance,Service
2,Routine inspection,Checked,Maintenance,Service
361,Routine inspection,Checked,Maintenance,Service
125,Routine inspection,Checked,Maintenance,Service
110,Device failure reported,Checked,Maintenance,Service
86,Routine inspection,Checked,Maintenance,Service
425,Device failure reported,Checked,Maintenance,Service
120,Device failure reported,Checked,Maintenance,Service
127,Routine inspection,Checked,Maintenance,Service
255,Device failure reported,Checked,Maintenance,Service
183,Routine inspection,Checked,Maintenance,Service
16,Routine inspection,Checked,Maintenance,Service
477,Routine inspection,Checked,Maintenance,Service
62,Normal operation,Checked,Maintenance,Service
369,Routine inspection,Checked,Maintenance,Service
432,Routine inspection,Checked,Maintenance,Service
158,Device failure reported,Checked,Maintenance,Service
268,Routine inspection,Checked,Maintenance,Service
35,Routine inspection,Checked,Maintenance,Service
267,Routine inspection,Checked,Maintenance,Service
64,Device failure reported,Checked,Maintenance,Service
494,Device failure reported,Checked,Maintenance,Service
50,Routine inspection,Checked,Maintenance,Service
469,Routine inspection,Checked,Maintenance,Service
255,Routine inspection,Checked,Maintenance,Service
