classification,country,risk_class,implanted,distributed_to,manufacturer_id,name,description,device_id,name_length,description_length,target
Cardiovascular Devices,UK,2,No,Clinics,16,Device 103,Medical equipment,104,10,17,0
Diagnostic Devices,USA,1,Yes,Hospitals,5,Device 104,Medical equipment,105,10,17,0
Diagnostic Devices,USA,3,Yes,Clinics,15,Device 105,Medical equipment,106,10,17,0
Cardiovascular Devices,India,3,No,Hospitals,3,Device 106,Medical equipment,107,10,17,1
Diagnostic Devices,India,3,No,Hospitals,7,Device 107,Medical equipment,108,10,17,1
Cardiovascular Devices,UK,1,No,Hospitals,11,Device 108,Medical equipment,109,10,17,1
Respiratory Devices,India,1,Yes,Hospitals,10,Device 109,Medical equipment,110,10,17,1
Diagnostic Devices,UK,1,Yes,Clinics,9,Device 110,Medical equipment,111,10,17,0
Respiratory Devices,India,1,Yes,Hospitals,14,Device 111,Medical equipment,112,10,17,0
Cardiovascular Devices,USA,3,Yes,Clinics,13,Device 112,Medical equipment,113,10,17,0
Diagnostic Devices,UK,3,No,Hospitals,2,Device 113,Medical equipment,114,10,17,0
Cardiovascular Devices,UK,2,No,Hospitals,3,Device 114,Medical equipment,115,10,17,1
Respiratory Devices,USA,2,No,Hospitals,7,Device 115,Medical equipment,116,10,17,1
Cardiovascular Devices,UK,1,Yes,Clinics,18,Device 116,Medical equipment,117,10,17,1
Diagnostic Devices,UK,3,Yes,Hospitals,3,Device 117,Medical equipment,118,10,17,0
Diagnostic Devices,India,3,Yes,Clinics,10,Device 118,Medical equipment,119,10,17,0
Respiratory Devices,UK,3,No,Clinics,7,Device 119,Medical equipment,120,10,17,1
Cardiovascular Devices,USA,2,No,Clinics,9,Device 120,Medical equipment,121,10,17,0
Diagnostic Devices,India,2,Yes,Clinics,17,Device 121,Medical equipment,122,10,17,1
Respiratory Devices,India,3,No,Clinics,11,Device 122,Medical equipment,123,10,17,0
Diagnostic Devices,USA,3,Yes,Clinics,7,Device 123,Medical equipment,124,10,17,1
Diagnostic Devices,USA,3,Yes,Clinics,14,Device 124,Medical equipment,125,10,17,0
Cardiovascular Devices,India,2,No,Clinics,19,Device 125,Medical equipment,126,10,17,0
Diagnostic Devices,UK,3,Yes,Clinics,4,Device 126,Medical equipment,127,10,17,0
Cardiovascular Devices,India,3,No,Hospitals,6,Device 127,Medical equipment,128,10,17,1
Diagnostic Devices,USA,1,Yes,Hospitals,10,Device 128,Medical equipment,129,10,17,1
Respiratory Devices,India,1,No,Hospitals,7,Device 129,Medical equipment,130,10,17,0
Diagnostic Devices,USA,2,No,Hospitals,13,Device 130,Medical equipment,131,10,17,0
Cardiovascular Devices,India,3,No,Hospitals,14,Device 131,Medical equipment,132,10,17,0
Cardiovascular Devices,UK,3,Yes,Clinics,4,Device 132,Medical equipment,133,10,17,0
Respiratory Devices,India,1,Yes,Clinics,8,Device 133,Medical equipment,134,10,17,0
Diagnostic Devices,India,2,No,Clinics,5,Device 134,Medical equipment,135,10,17,0
Diagnostic Devices,USA,1,No,Clinics,1,Device 135,Medical equipment,136,10,17,0
Respiratory Devices,USA,1,Yes,Clinics,4,Device 136,Medical equipment,137,10,17,1
Diagnostic Devices,USA,1,Yes,Clinics,3,Device 137,Medical equipment,138,10,17,1
Diagnostic Devices,India,1,Yes,Clinics,9,Device 138,Medical equipment,139,10,17,0
Cardiovascular Devices,UK,3,No,Hospitals,8,Device 139,Medical equipment,140,10,17,0
Diagnostic Devices,USA,3,Yes,Hospitals,1,Device 140,Medical equipment,141,10,17,0
Diagnostic Devices,USA,1,Yes,Hospitals,6,Device 141,Medical equipment,142,10,17,1
Respiratory Devices,India,2,No,Hospitals,9,Device 142,Medical equipment,143,10,17,1
Respiratory Devices,USA,2,Yes,Clinics,7,Device 143,Medical equipment,144,10,17,0
Cardiovascular Devices,UK,2,Yes,Clinics,4,Device 144,Medical equipment,145,10,17,0
Diagnostic Devices,UK,2,Yes,Clinics,13,Device 145,Medical equipment,146,10,17,1
Diagnostic Devices,USA,1,No,Hospitals,17,Device 146,Medical equipment,147,10,17,1
Diagnostic Devices,USA,3,No,Clinics,2,Device 147,Medical equipment,148,10,17,1
Cardiovascular Devices,India,2,No,Clinics,5,Device 148,Medical equipment,149,10,17,1
Cardiovascular Devices,UK,1,No,Clinics,12,Device 149,Medical equipment,150,10,17,0
Respiratory Devices,UK,2,No,Hospitals,8,Device 150,Medical equipment,151,10,17,0
Cardiovascular Devices,USA,2,No,Clinics,6,Device 151,Medical equipment,152,10,17,1
Diagnostic Devices,India,1,No,Hospitals,8,Device 152,Medical equipment,153,10,17,0
Diagnostic Devices,UK,3,Yes,Hospitals,18,Device 153,Medical equipment,154,10,17,1
Cardiovascular Devices,UK,3,Yes,Hospitals,3,Device 154,Medical equipment,155,10,17,1
Diagnostic Devices,India,1,No,Hospitals,12,Device 155,Medical equipment,156,10,17,1
Diagnostic Devices,India,3,Yes,Clinics,3,Device 156,Medical equipment,157,10,17,1
Cardiovascular Devices,UK,1,Yes,Hospitals,6,Device 157,Medical equipment,158,10,17,1
Cardiovascular Devices,UK,1,No,Hospitals,2,Device 158,Medical equipment,159,10,17,0
Diagnostic Devices,India,1,Yes,Clinics,12,Device 159,Medical equipment,160,10,17,0
Diagnostic Devices,UK,3,Yes,Clinics,2,Device 160,Medical equipment,161,10,17,0
Diagnostic Devices,USA,1,Yes,Hospitals,6,Device 161,Medical equipment,162,10,17,0
Respiratory Devices,USA,2,Yes,Clinics,17,Device 162,Medical equipment,163,10,17,0
Respiratory Devices,India,3,Yes,Hospitals,3,Device 163,Medical equipment,164,10,17,0
Respiratory Devices,India,3,No,Hospitals,2,Device 164,Medical equipment,165,10,17,0
Cardiovascular Devices,India,3,No,Hospitals,8,Device 165,Medical equipment,166,10,17,0
Respiratory Devices,USA,3,No,Hospitals,12,Device 166,Medical equipment,167,10,17,0
Cardiovascular Devices,UK,2,Yes,Clinics,4,Device 167,Medical equipment,168,10,17,0
Cardiovascular Devices,USA,3,No,Hospitals,5,Device 168,Medical equipment,169,10,17,0
Respiratory Devices,UK,3,Yes,Clinics,13,Device 169,Medical equipment,170,10,17,0
Respiratory Devices,USA,1,Yes,Clinics,15,Device 170,Medical equipment,171,10,17,0
Respiratory Devices,UK,3,Yes,Clinics,16,Device 171,Medical equipment,172,10,17,0
Diagnostic Devices,USA,2,Yes,Clinics,10,Device 172,Medical equipment,173,10,17,1
Respiratory Devices,India,2,No,Hospitals,16,Device 173,Medical equipment,174,10,17,1
Diagnostic Devices,USA,2,No,Clinics,12,Device 174,Medical equipment,175,10,17,0
Cardiovascular Devices,UK,2,Yes,Hospitals,17,Device 175,Medical equipment,176,10,17,0
Diagnostic Devices,USA,3,No,Clinics,16,Device 176,Medical equipment,177,10,17,0
Respiratory Devices,USA,3,Yes,Clinics,12,Device 177,Medical equipment,178,10,17,1
Cardiovascular Devices,USA,2,No,Hospitals,8,Device 178,Medical equipment,179,10,17,1
Cardiovascular Devices,India,2,No,Hospitals,3,Device 179,Medical equipment,180,10,17,0
Cardiovascular Devices,USA,3,Yes,Hospitals,16,Device 180,Medical equipment,181,10,17,0
Diagnostic Devices,India,2,No,Clinics,13,Device 181,Medical equipment,182,10,17,1
Respiratory Devices,India,1,Yes,Clinics,19,Device 182,Medical equipment,183,10,17,1
Cardiovascular Devices,USA,2,No,Hospitals,8,Device 183,Medical equipment,184,10,17,0
Cardiovascular Devices,USA,2,Yes,Hospitals,5,Device 184,Medical equipment,185,10,17,0
Cardiovascular Devices,USA,1,Yes,Hospitals,8,Device 185,Medical equipment,186,10,17,1
Diagnostic Devices,UK,1,No,Hospitals,12,Device 186,Medical equipment,187,10,17,0
Diagnostic Devices,USA,3,No,Clinics,1,Device 187,Medical equipment,188,10,17,1
Respiratory Devices,India,3,Yes,Hospitals,6,Device 188,Medical equipment,189,10,17,0
Diagnostic Devices,USA,1,No,Hospitals,18,Device 189,Medical equipment,190,10,17,1
Cardiovascular Devices,UK,1,No,Hospitals,8,Device 190,Medical equipment,191,10,17,0
Respiratory Devices,USA,3,Yes,Hospitals,7,Device 191,Medical equipment,192,10,17,0
Cardiovascular Devices,UK,2,Yes,Clinics,1,Device 192,Medical equipment,193,10,17,0
Cardiovascular Devices,UK,1,No,Hospitals,16,Device 193,Medical equipment,194,10,17,0
Diagnostic Devices,USA,3,Yes,Clinics,12,Device 194,Medical equipment,195,10,17,0
Respiratory Devices,India,2,Yes,Hospitals,6,Device 195,Medical equipment,196,10,17,0
Diagnostic Devices,UK,1,Yes,Hospitals,2,Device 196,Medical equipment,197,10,17,0
Diagnostic Devices,USA,2,No,Clinics,14,Device 197,Medical equipment,198,10,17,1
Respiratory Devices,USA,3,No,Hospitals,4,Device 198,Medical equipment,199,10,17,0
Cardiovascular Devices,India,1,Yes,Clinics,1,Device 199,Medical equipment,200,10,17,0
Cardiovascular Devices,UK,2,No,Clinics,18,Device 200,Medical equipment,201,10,17,1
Respiratory Devices,UK,1,Yes,Hospitals,13,Device 201,Medical equipment,202,10,17,0
Cardiovascular Devices,USA,2,No,Clinics,2,Device 202,Medical equipment,203,10,17,0
Respiratory Devices,USA,3,Yes,Clinics,9,Device 203,Medical equipment,204,10,17,1
Respiratory Devices,India,3,Yes,Clinics,2,Device 204,Medical equipment,205,10,17,0
Diagnostic Devices,India,1,No,Clinics,9,Device 205,Medical equipment,206,10,17,0
Respiratory Devices,UK,2,Yes,Clinics,1,Device 206,Medical equipment,207,10,17,0
Diagnostic Devices,UK,1,No,Clinics,11,Device 207,Medical equipment,208,10,17,0
Cardiovascular Devices,USA,1,No,Clinics,3,Device 208,Medical equipment,209,10,17,0
Cardiovascular Devices,UK,2,Yes,Clinics,4,Device 209,Medical equipment,210,10,17,1
Cardiovascular Devices,India,2,Yes,Hospitals,18,Device 210,Medical equipment,211,10,17,0
Cardiovascular Devices,India,2,No,Hospitals,6,Device 211,Medical equipment,212,10,17,0
Diagnostic Devices,USA,3,Yes,Clinics,3,Device 212,Medical equipment,213,10,17,1
Cardiovascular Devices,India,1,Yes,Hospitals,11,Device 213,Medical equipment,214,10,17,0
Respiratory Devices,India,1,Yes,Clinics,15,Device 214,Medical equipment,215,10,17,0
Respiratory Devices,India,3,Yes,Clinics,5,Device 215,Medical equipment,216,10,17,0
Respiratory Devices,India,2,Yes,Hospitals,10,Device 216,Medical equipment,217,10,17,0
Diagnostic Devices,USA,3,No,Clinics,12,Device 217,Medical equipment,218,10,17,1
Cardiovascular Devices,USA,3,No,Clinics,15,Device 218,Medical equipment,219,10,17,0
Cardiovascular Devices,UK,3,Yes,Clinics,17,Device 219,Medical equipment,220,10,17,1
Cardiovascular Devices,India,1,Yes,Clinics,10,Device 220,Medical equipment,221,10,17,0
Diagnostic Devices,UK,3,Yes,Hospitals,6,Device 221,Medical equipment,222,10,17,0
Respiratory Devices,USA,1,No,Clinics,18,Device 222,Medical equipment,223,10,17,0
Respiratory Devices,USA,1,Yes,Clinics,13,Device 223,Medical equipment,224,10,17,0
Cardiovascular Devices,USA,1,No,Clinics,3,Device 224,Medical equipment,225,10,17,0
Respiratory Devices,USA,2,No,Hospitals,10,Device 225,Medical equipment,226,10,17,0
Respiratory Devices,USA,1,No,Clinics,14,Device 226,Medical equipment,227,10,17,1
Diagnostic Devices,USA,1,Yes,Hospitals,6,Device 227,Medical equipment,228,10,17,0
Diagnostic Devices,USA,2,No,Hospitals,3,Device 228,Medical equipment,229,10,17,0
Diagnostic Devices,India,1,Yes,Clinics,16,Device 229,Medical equipment,230,10,17,0
Diagnostic Devices,UK,3,No,Clinics,7,Device 230,Medical equipment,231,10,17,0
Cardiovascular Devices,USA,3,Yes,Hospitals,14,Device 231,Medical equipment,232,10,17,1
Diagnostic Devices,India,1,No,Clinics,9,Device 232,Medical equipment,233,10,17,0
Respiratory Devices,India,2,Yes,Hospitals,15,Device 233,Medical equipment,234,10,17,0
Cardiovascular Devices,UK,3,No,Hospitals,3,Device 234,Medical equipment,235,10,17,0
Respiratory Devices,USA,2,Yes,Clinics,2,Device 235,Medical equipment,236,10,17,0
Respiratory Devices,UK,2,Yes,Clinics,2,Device 236,Medical equipment,237,10,17,0
Respiratory Devices,USA,3,Yes,Hospitals,3,Device 237,Medical equipment,238,10,17,0
Diagnostic Devices,India,2,Yes,Hospitals,18,Device 238,Medical equipment,239,10,17,0
Diagnostic Devices,India,3,No,Hospitals,14,Device 239,Medical equipment,240,10,17,1
Cardiovascular Devices,India,2,No,Hospitals,18,Device 240,Medical equipment,241,10,17,0
Cardiovascular Devices,India,3,Yes,Clinics,10,Device 241,Medical equipment,242,10,17,0
Diagnostic Devices,UK,1,No,Clinics,2,Device 242,Medical equipment,243,10,17,1
Respiratory Devices,USA,3,Yes,Clinics,1,Device 243,Medical equipment,244,10,17,0
Cardiovascular Devices,USA,3,Yes,Clinics,4,Device 244,Medical equipment,245,10,17,1
Diagnostic Devices,UK,3,No,Clinics,14,Device 245,Medical equipment,246,10,17,0
Diagnostic Devices,USA,3,Yes,Hospitals,1,Device 246,Medical equipment,247,10,17,0
Diagnostic Devices,India,2,Yes,Clinics,14,Device 247,Medical equipment,248,10,17,1
Respiratory Devices,USA,1,No,Clinics,16,Device 248,Medical equipment,249,10,17,0
Diagnostic Devices,India,3,Yes,Clinics,14,Device 249,Medical equipment,250,10,17,1
Diagnostic Devices,UK,2,Yes,Clinics,3,Device 250,Medical equipment,251,10,17,0
Diagnostic Devices,USA,1,Yes,Clinics,3,Device 251,Medical equipment,252,10,17,1
Diagnostic Devices,UK,1,Yes,Hospitals,9,Device 252,Medical equipment,253,10,17,0
Cardiovascular Devices,USA,1,No,Hospitals,6,Device 253,Medical equipment,254,10,17,0
Cardiovascular Devices,India,1,No,Hospitals,13,Device 254,Medical equipment,255,10,17,1
Diagnostic Devices,UK,3,No,Clinics,2,Device 255,Medical equipment,256,10,17,0
Respiratory Devices,USA,3,Yes,Hospitals,8,Device 256,Medical equipment,257,10,17,0
Cardiovascular Devices,India,2,Yes,Hospitals,2,Device 257,Medical equipment,258,10,17,0
Diagnostic Devices,UK,2,No,Clinics,4,Device 258,Medical equipment,259,10,17,0
Cardiovascular Devices,UK,2,Yes,Clinics,15,Device 259,Medical equipment,260,10,17,0
Cardiovascular Devices,USA,1,Yes,Clinics,4,Device 260,Medical equipment,261,10,17,0
Respiratory Devices,USA,1,Yes,Hospitals,13,Device 261,Medical equipment,262,10,17,0
Diagnostic Devices,USA,3,Yes,Hospitals,12,Device 262,Medical equipment,263,10,17,1
Diagnostic Devices,India,1,No,Clinics,13,Device 263,Medical equipment,264,10,17,0
Respiratory Devices,USA,1,No,Clinics,14,Device 264,Medical equipment,265,10,17,1
Respiratory Devices,UK,1,No,Hospitals,18,Device 265,Medical equipment,266,10,17,1
Diagnostic Devices,UK,2,Yes,Hospitals,6,Device 266,Medical equipment,267,10,17,0
Diagnostic Devices,USA,2,No,Clinics,11,Device 267,Medical equipment,268,10,17,1
Respiratory Devices,USA,3,No,Clinics,2,Device 268,Medical equipment,269,10,17,1
Cardiovascular Devices,UK,1,Yes,Hospitals,19,Device 269,Medical equipment,270,10,17,1
Cardiovascular Devices,India,1,Yes,Clinics,19,Device 270,Medical equipment,271,10,17,1
Respiratory Devices,USA,3,No,Hospitals,5,Device 271,Medical equipment,272,10,17,0
Cardiovascular Devices,USA,1,No,Hospitals,19,Device 272,Medical equipment,273,10,17,1
Respiratory Devices,UK,1,No,Hospitals,2,Device 273,Medical equipment,274,10,17,0
Cardiovascular Devices,USA,2,No,Hospitals,10,Device 274,Medical equipment,275,10,17,1
Cardiovascular Devices,India,3,Yes,Clinics,2,Device 275,Medical equipment,276,10,17,0
Diagnostic Devices,UK,3,No,Clinics,11,Device 276,Medical equipment,277,10,17,1
Diagnostic Devices,USA,3,No,Hospitals,18,Device 277,Medical equipment,278,10,17,0
Cardiovascular Devices,UK,3,Yes,Hospitals,15,Device 278,Medical equipment,279,10,17,0
Cardiovascular Devices,USA,2,No,Hospitals,9,Device 279,Medical equipment,280,10,17,0
Diagnostic Devices,USA,2,Yes,Hospitals,19,Device 280,Medical equipment,281,10,17,0
Diagnostic Devices,USA,1,Yes,Hospitals,9,Device 281,Medical equipment,282,10,17,0
Diagnostic Devices,India,1,Yes,Clinics,3,Device 282,Medical equipment,283,10,17,0
Respiratory Devices,India,1,No,Clinics,9,Device 283,Medical equipment,284,10,17,0
Cardiovascular Devices,UK,1,No,Clinics,14,Device 284,Medical equipment,285,10,17,0
Diagnostic Devices,USA,2,Yes,Clinics,19,Device 285,Medical equipment,286,10,17,0
Cardiovascular Devices,USA,3,No,Hospitals,7,Device 286,Medical equipment,287,10,17,0
Respiratory Devices,India,2,No,Hospitals,16,Device 287,Medical equipment,288,10,17,1
Respiratory Devices,USA,1,Yes,Hospitals,16,Device 288,Medical equipment,289,10,17,1
Diagnostic Devices,India,2,Yes,Hospitals,1,Device 289,Medical equipment,290,10,17,1
Respiratory Devices,USA,3,No,Hospitals,4,Device 290,Medical equipment,291,10,17,1
Cardiovascular Devices,UK,3,Yes,Clinics,4,Device 291,Medical equipment,292,10,17,0
Diagnostic Devices,USA,2,No,Hospitals,7,Device 292,Medical equipment,293,10,17,0
Cardiovascular Devices,USA,2,No,Clinics,8,Device 293,Medical equipment,294,10,17,1
Cardiovascular Devices,India,2,No,Clinics,17,Device 294,Medical equipment,295,10,17,0
Respiratory Devices,USA,1,No,Clinics,5,Device 295,Medical equipment,296,10,17,1
Respiratory Devices,USA,2,Yes,Clinics,7,Device 296,Medical equipment,297,10,17,0
Respiratory Devices,India,2,Yes,Hospitals,4,Device 297,Medical equipment,298,10,17,0
Respiratory Devices,UK,2,Yes,Clinics,6,Device 298,Medical equipment,299,10,17,0
Respiratory Devices,UK,3,Yes,Clinics,7,Device 299,Medical equipment,300,10,17,0
Diagnostic Devices,India,3,No,Clinics,18,Device 300,Medical equipment,301,10,17,0
Cardiovascular Devices,India,1,No,Hospitals,5,Device 301,Medical equipment,302,10,17,0
Cardiovascular Devices,India,1,Yes,Hospitals,3,Device 302,Medical equipment,303,10,17,0
Cardiovascular Devices,India,3,No,Hospitals,7,Device 303,Medical equipment,304,10,17,0
Cardiovascular Devices,India,3,No,Clinics,14,Device 304,Medical equipment,305,10,17,1
Respiratory Devices,UK,3,No,Clinics,7,Device 305,Medical equipment,306,10,17,0
Cardiovascular Devices,UK,2,Yes,Hospitals,5,Device 306,Medical equipment,307,10,17,0
